imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.11, 0.09",1,1,1,0,2,14,1150
"0.11, 0.10",1,1,1,0,2,15,1140
"0.11, 0.11",1,1,1,0,2,15,1150
"0.11, 0.12",1,1,1,0,2,16,1200
"0.11, 0.13",1,1,1,0,2,16,1200
"0.11, 0.14",1,1,1,0,2,16,1200
"0.11, 0.15",1,1,1,0,2,16,1200
"0.11, 0.16",1,1,1,0,2,16,1200
"0.11, 0.17",1,1,1,0,2,16,1200
"0.11, 0.18",1,1,1,0,2,16,1200
"0.11, 0.19",1,1,1,0,2,16,1200
"0.11, 0.20",1,1,1,0,2,16,1200
"0.11, 0.21",1,1,1,0,2,16,1200
"0.11, 0.22",1,1,1,0,2,16,1200
"0.11, 0.23",1,1,1,0,2,16,1200
"0.11, 0.24",1,1,1,0,2,16,1200
"0.11, 0.25",1,1,1,0,2,16,1200
"0.11, 0.26",1,1,1,0,2,16,1200
"0.11, 0.27",1,1,1,0,2,16,1200
"0.11, 0.28",1,1,1,0,2,16,1200
"0.11, 0.29",1,1,1,0,2,16,1200
"0.11, 0.30",1,1,1,0,2,16,1200
"0.11, 0.31",1,1,1,0,2,16,1200
"0.11, 0.32",1,1,1,0,2,16,1200
"0.11, 0.33",1,1,1,0,2,16,1200
"0.11, 0.34",1,1,1,0,2,16,1200
"0.11, 0.35",1,1,1,0,2,16,1200
"0.11, 0.36",1,1,1,0,2,16,1200
"0.11, 0.37",1,1,1,0,2,17,1250
"0.11, 0.38",1,1,1,0,2,16,1200
"0.11, 0.39",1,1,1,0,2,16,1200
"0.11, 0.40",1,1,1,0,2,18,1250
"0.12, 0.00",1,2,0,0,2,6,1480
"0.12, 0.01",1,2,0,0,2,6,1380
"0.12, 0.02",1,1,0,0,2,8,1330
"0.12, 0.03",1,1,0,0,2,6,1290
"0.12, 0.04",1,1,0,0,2,10,1150
"0.12, 0.05",1,1,0,0,2,10,1250
"0.12, 0.06",1,1,0,0,2,11,1330
"0.12, 0.07",1,1,0,0,2,12,1200
"0.12, 0.08",1,1,0,0,2,13,1320
"0.12, 0.09",1,1,1,0,2,14,1110
"0.12, 0.10",1,1,1,0,2,13,1150
"0.12, 0.11",1,1,1,0,2,15,1110
"0.12, 0.12",1,1,1,0,2,15,1180
"0.12, 0.13",1,1,1,0,2,17,1200
"0.12, 0.14",1,1,1,0,2,16,1150
"0.12, 0.15",1,1,1,0,2,16,1150
"0.12, 0.16",1,1,1,0,2,16,1150
"0.12, 0.17",1,1,1,0,2,16,1150
"0.12, 0.18",1,1,1,0,2,16,1150
"0.12, 0.19",1,1,1,0,2,16,1150
"0.12, 0.20",1,1,1,0,2,16,1150
"0.12, 0.21",1,1,1,0,2,16,1150
"0.12, 0.22",1,1,1,0,2,16,1150
"0.12, 0.23",1,1,1,0,2,16,1150
"0.12, 0.24",1,1,1,0,2,16,1150
"0.12, 0.25",1,1,1,0,2,16,1150
"0.12, 0.26",1,1,1,0,2,16,1150
"0.12, 0.27",1,1,1,0,2,16,1150
"0.12, 0.28",1,1,1,0,2,16,1150
"0.12, 0.29",1,1,1,0,2,16,1150
"0.12, 0.30",1,1,1,0,2,16,1150
"0.12, 0.31",1,1,1,0,2,16,1150
"0.12, 0.32",1,1,1,0,2,16,1150
"0.12, 0.33",1,1,1,0,2,16,1150
"0.12, 0.34",1,1,1,0,2,16,1150
"0.12, 0.35",1,1,1,0,2,16,1150
"0.12, 0.36",1,1,1,0,2,16,1150
"0.12, 0.37",1,1,1,0,2,16,1150
"0.12, 0.38",1,1,1,0,2,16,1150
"0.12, 0.39",1,1,1,0,2,16,1150
"0.12, 0.40",1,1,1,0,2,16,1150
"0.13, 0.00",1,2,0,0,2,6,1480
"0.13, 0.01",1,2,0,0,2,6,1380
"0.13, 0.02",1,1,0,0,2,8,1330
"0.13, 0.03",1,1,0,0,2,6,1290
"0.13, 0.04",1,1,0,0,2,10,1150
"0.13, 0.05",1,1,0,0,2,10,1250
"0.13, 0.06",1,1,0,0,2,11,1330
"0.13, 0.07",1,1,0,0,2,12,1390
"0.13, 0.08",1,1,1,0,2,14,1110
"0.13, 0.09",1,1,0,0,2,13,1240
"0.13, 0.10",1,1,1,0,2,15,1150
"0.13, 0.11",1,1,1,0,2,16,1100
"0.13, 0.12",1,1,1,0,2,16,1190
"0.13, 0.13",1,1,1,0,2,18,1110
"0.13, 0.14",1,1,1,0,2,20,1200
"0.13, 0.15",1,1,1,0,2,19,1150
